DATE,STATION,INITIAL TIME (UTC),FINAL TIME (UTC),Depth (m),Notes,LON,LAT
7/29/2019,2,12:32,12:37,5.9,,-80.105,25.64151667
7/29/2019,MR,19:38,19:55,29,,-80.380,25.010
7/29/2019,7,23:23,23:31,3.6,,-80.757,24.821
7/30/2019,9,0:06,0:18,7.69,,-80.72395,24.76368333
7/30/2019,9.5,0:46,1:08,12.7,,-80.719,24.760
7/30/2019,12,2:22,2:33,2.09,,-80.832,24.713
7/30/2019,10,3:13,3:20,3.8,,-80.860,24.788
7/30/2019,18,6:43,6:53,2,,-81.183,24.598
7/30/2019,16,7:29,7:36,5.6,,-81.205,24.675
7/30/2019,LK,9:42,9:53,36.5,,-81.413,24.538
7/30/2019,WS,13:13,13:21,21.5,,-81.717,24.478
7/30/2019,KW1,16:51,16:59,8.2,,-81.9049,24.65388333
7/30/2019,KW2,17:51,18:02,13,,-81.91885,24.72755
7/30/2019,KW4,20:21,20:29,19.5,,-82.41133333,25.01568333
7/30/2019,30,23:20,23:31,20.7,,-82.210,25.402
7/30/2019,31,2:11,2:24,15.57,,-81.943,25.742
7/31/2019,33,3:58,4:06,6.4,,-81.800,25.912
7/31/2019,CAL5,7:43,7:52,16.57,,-82.21655,26.18538333
7/31/2019,CAL4,8:38,8:45,11.82,,-82.13936667,26.25305
7/31/2019,CAL3,9:41,9:49,8.69,,-82.04499667,26.3415
7/31/2019,CAL2,10:10,10:29,6.29,,-82.00218333,26.38261667
7/31/2019,CAL1,10:55,11:02,7.5,,-81.9603,26.42605
7/31/2019,RP1,13:37,13:42,5.19,,-82.21566167,26.54576667
7/31/2019,RP2,14:05,14:12,8.92,,-82.25507333,26.55301667
7/31/2019,RP3,14:48,14:54,12.5,,-82.33175,26.55013333
7/31/2019,RP4,16:03,16:14,17.5,,-82.50003333,26.5761
7/31/2019,GP5,17:26,17:36,24.2,,-82.6841,26.596
7/31/2019,GP4,18:54,19:04,17.97,,-82.55789,26.66905
7/31/2019,GP3,20:04,20:12,14.4,,-82.4192,26.74155
7/31/2019,GP2,20:48,20:53,9.22,,-82.34963333,26.77711667
7/31/2019,GP1,21:24,21:32,3.32,,-82.29416667,26.80716667
8/1/2019,41,7:27,7:38,3.1,,-81.575,25.73333333
8/1/2019,45,9:44,10:01,5.85,,-81.471,25.584
8/1/2019,51,13:07,13:13,4,,-81.308,25.453
8/1/2019,56,14:55,15:07,3.2,,-81.227,25.35
8/1/2019,55,15:38,15:42,2.2,,-81.193,25.350
8/1/2019,54,16:19,16:24,2.5,,-81.153,25.345
8/1/2019,57,17:36,17:44,4.5,,-81.265,25.352
8/1/2019,57.1,18:42,18:49,6.15,,-81.336,25.352
8/1/2019,57.2,19:48,19:57,8.28,,-81.491,25.352
8/1/2019,57.3,21:06,21:14,9.5,,-81.654,25.352
8/1/2019,58,22:56,23:02,10.58,,-81.653,25.167
8/2/2019,60,1:18,1:23,2.16,,-81.336,25.167
8/2/2019,65,9:58,4:04,2.1,,,
8/2/2019,68,5:38,5:45,2.4,,-81.16666667,24.93
